Country,Albania ,Andorra ,Armenia ,Austria,Azerbaijan ,Belarus ,Belgium ,Bosnia and Herzegovina ,Bulgaria ,Croatia ,Cyprus ,Czech Republic ,Denmark ,Estonia ,Finland ,France ,Georgia,Germany ,Greece ,Hungary ,Iceland ,Ireland ,Israel ,Latvia ,Lithuania ,Macedonia ,Malta ,Moldova ,Monaco,Montenegro ,Netherlands ,Norway ,Poland ,Portugal ,Romania ,Russia ,San Marino,Serbia ,Serbia & Montenegro,Slovakia ,Slovenia ,Spain ,Sweden ,Switzerland ,Turkey ,Ukraine ,United Kingdom 
Montenegro,,1,5,,,3,0,10,0,,,0,,,0,,,2,,,0,,1,,,8,6,,,,,,,1,0,,,,,,,,0,2,5,,0
Czech Republic,,0,0,,,0,0,0,0,,,,,,0,,,0,,,0,,0,,,0,0,,,0,,,,0,0,,,,,,,,0,0,0,,0
Belgium,,0,1,,,0,,0,0,,,0,,,0,,,0,,,0,,0,,,0,0,,,0,,,,0,0,,,,,,,,0,0,0,,0
Belarus,,0,4,,,,0,0,1,,,1,,,4,,,0,,,1,,4,,,6,1,,,2,,,,0,0,,,,,,,,1,0,0,,0
Sweden,,7,8,,,7,4,4,0,,,6,,,10,,,4,,,10,,7,,,3,8,,,0,,,,8,4,,,,,,,,,4,4,,7
Armenia,,0,,,,10,10,1,8,,,12,,,1,,,10,,,2,,10,,,2,0,,,4,,,,0,8,,,,,,,,5,1,10,,5
Andorra,,,0,,,0,0,0,0,,,0,,,0,,,0,,,0,,0,,,0,3,,,0,,,,4,0,,,,,,,,0,0,1,,0
Switzerland,,2,0,,,2,0,2,0,,,0,,,5,,,0,,,0,,0,,,0,0,,,0,,,,2,0,,,,,,,,2,,0,,0
Turkey,,5,10,,,6,12,12,12,,,5,,,7,,,12,,,7,,6,,,12,10,,,8,,,,5,12,,,,,,,,7,12,,,12
Israel,,8,7,,,4,3,0,4,,,4,,,6,,,5,,,6,,,,,1,4,,,5,,,,0,3,,,,,,,,6,5,3,,1
Bulgaria,,0,0,,,0,0,0,,,,0,,,0,,,0,,,0,,0,,,5,0,,,0,,,,0,0,,,,,,,,0,0,2,,0
Iceland,,10,12,,,12,7,7,6,,,10,,,12,,,6,,,,,12,,,4,12,,,7,,,,12,10,,,,,,,,12,7,8,,8
Macedonia,,0,0,,,0,0,8,10,,,3,,,0,,,0,,,0,,0,,,,0,,,10,,,,0,2,,,,,,,,0,6,6,,0
Romania,,4,2,,,1,2,6,5,,,0,,,0,,,1,,,4,,8,,,7,2,,,6,,,,10,,,,,,,,,0,0,7,,2
Finland ,,3,0,,,0,1,0,0,,,0,,,,,,0,,,12,,0,,,0,5,,,3,,,,3,1,,,,,,,,10,0,0,,4
Portugal,,12,0,,,0,6,3,2,,,2,,,2,,,7,,,8,,2,,,0,0,,,0,,,,,7,,,,,,,,3,10,0,,6
Malta,,6,3,,,8,8,5,3,,,7,,,3,,,3,,,5,,5,,,0,,,,1,,,,6,6,,,,,,,,4,3,0,,10
Bosnia and Herzegovina,,0,6,,,5,5,,7,,,8,,,8,,,8,,,3,,3,,,10,7,,,12,,,,7,5,,,,,,,,8,8,12,,3
Croatia,1,,,,0,,,,,,2,,0,0,,0,,,0,1,,0,,0,0,,,3,,,0,0,0,,,3,,12,,0,10,0,,,,1,
Ireland,7,,,,0,,,,,1,0,,10,4,,1,,,0,0,,,,5,7,,,2,,,3,4,3,,,0,,3,,0,2,0,,,,0,
Latvia,0,,,,0,,,,,0,0,,0,1,,0,,,0,0,,0,,,6,,,0,,,0,0,0,,,0,,0,,0,0,0,,,,0,
Serbia,0,,,,0,,,,,12,4,,0,0,,12,,,5,2,,0,,0,0,,,0,,,6,2,0,,,0,,,,0,12,5,,,,0,
Poland,6,,,,1,,,,,0,0,,3,0,,4,,,1,0,,10,,0,3,,,1,,,2,3,,,,0,,0,,3,0,0,,,,6,
Norway,8,,,,12,,,,,8,8,,12,12,,3,,,8,10,,8,,10,12,,,10,,,12,,10,,,10,,8,,10,8,12,,,,10,
Cyprus,0,,,,0,,,,,0,,,7,6,,0,,,12,0,,2,,1,1,,,0,,,0,0,0,,,0,,2,,1,0,0,,,,0,
Slovakia,4,,,,0,,,,,0,0,,0,0,,0,,,0,0,,1,,0,0,,,0,,,0,0,0,,,1,,0,,,0,0,,,,2,
Denmark,5,,,,2,,,,,2,3,,,8,,0,,,2,3,,7,,3,5,,,0,,,7,12,1,,,0,,0,,0,5,4,,,,0,
Slovenia,2,,,,0,,,,,7,0,,0,0,,0,,,0,0,,0,,0,0,,,0,,,0,0,0,,,0,,5,,0,,0,,,,0,
Hungary,3,,,,8,,,,,0,0,,0,0,,0,,,0,,,0,,0,0,,,0,,,0,0,0,,,0,,0,,2,0,3,,,,0,
Azerbaijan,0,,,,,,,,,6,10,,8,10,,10,,,7,12,,6,,8,10,,,12,,,8,6,12,,,12,,6,,12,6,7,,,,12,
Greece,12,,,,4,,,,,3,12,,2,5,,6,,,,6,,0,,4,4,,,6,,,10,1,2,,,4,,10,,5,4,6,,,,4,
Lithuania,0,,,,6,,,,,0,1,,5,7,,2,,,0,0,,12,,7,,,,4,,,0,7,4,,,5,,0,,0,0,1,,,,5,
Moldova,0,,,,7,,,,,5,7,,0,2,,7,,,6,5,,5,,2,0,,,,,,4,10,5,,,8,,7,,7,3,8,,,,8,
Albania,,,,,5,,,,,10,0,,6,0,,5,,,10,4,,0,,0,0,,,5,,,1,5,6,,,2,,0,,4,7,0,,,,3,
Ukraine,0,,,,10,,,,,0,6,,0,3,,0,,,3,8,,3,,6,2,,,8,,,0,0,7,,,7,,1,,6,0,10,,,,,
Estonia,0,,,,3,,,,,4,5,,4,,,8,,,4,7,,4,,12,8,,,7,,,5,8,8,,,6,,4,,8,1,2,,,,7,
Netherlands,10,,,,0,,,,,0,0,,1,0,,0,,,0,0,,0,,0,0,,,0,,,,0,0,,,0,,0,,0,0,0,,,,0,
Montenegro,,0,0,,0,,0,12,,,,,,0,0,,,0,0,,,0,0,,,,,0,,,0,0,0,,0,0,1,,,,10,0,,,,,
Israel,,7,7,,10,,7,5,,,,,,0,10,,,4,5,,,0,,,,,,0,,5,6,10,4,,6,8,2,,,,4,4,,,,,
Estonia,,0,0,,0,,0,0,,,,,,,7,,,0,0,,,0,0,,,,,1,,0,0,0,0,,0,0,0,,,,0,0,,,,,
Moldova,,1,6,,5,,0,0,,,,,,0,0,,,0,4,,,0,0,,,,,,,0,0,0,0,,10,5,5,,,,0,0,,,,,
San Marino,,2,0,,0,,0,0,,,,,,0,0,,,0,3,,,0,0,,,,,0,,0,0,0,0,,0,0,,,,,0,0,,,,,
Belgium,,0,0,,0,,,0,,,,,,6,0,,,0,0,,,0,0,,,,,0,,0,10,0,0,,0,0,0,,,,0,0,,,,,
Azerbaijan,,8,2,,,,5,3,,,,,,4,5,,,8,7,,,5,5,,,,,10,,3,4,0,10,,7,10,0,,,,0,0,,,,,
Slovenia,,0,4,,1,,0,10,,,,,,0,0,,,0,2,,,0,2,,,,,2,,10,0,0,2,,1,2,0,,,,,0,,,,,
Norway,,10,8,,7,,1,4,,,,,,8,12,,,1,0,,,8,6,,,,,3,,4,5,,7,,4,7,7,,,,2,2,,,,,
Poland,,0,1,,3,,0,0,,,,,,0,0,,,5,1,,,12,0,,,,,0,,0,0,2,,,2,3,10,,,,0,3,,,,,
Ireland,,0,0,,0,,4,2,,,,,,7,2,,,0,0,,,,3,,,,,0,,1,1,1,0,,0,0,0,,,,0,1,,,,,
Andorra,,,0,,0,,0,0,,,,,,3,0,,,0,0,,,1,4,,,,,0,,0,0,0,1,,0,0,0,,,,1,12,,,,,
Bosnia and Herzegovina,,0,0,,4,,0,,,,,,,1,8,,,7,0,,,3,0,,,,,6,,12,7,12,0,,0,0,0,,,,12,0,,,,,
Armenia,,3,,,0,,12,6,,,,,,2,4,,,10,12,,,2,10,,,,,5,,6,12,3,12,,5,12,8,,,,5,10,,,,,
Netherlands,,0,3,,2,,8,0,,,,,,0,0,,,0,0,,,0,1,,,,,0,,0,,7,0,,3,0,3,,,,0,0,,,,,
Finland ,,12,0,,0,,2,1,,,,,,12,,,,2,6,,,6,0,,,,,8,,2,0,6,5,,0,4,4,,,,3,6,,,,,
Romania,,6,5,,6,,6,0,,,,,,0,1,,,3,8,,,7,8,,,,,12,,0,3,5,3,,,1,6,,,,6,8,,,,,
Russia,,4,12,,8,,3,7,,,,,,10,6,,,6,10,,,4,12,,,,,7,,8,2,8,8,,8,,0,,,,7,5,,,,,
Greece,,5,10,,12,,10,8,,,,,,5,3,,,12,,,,10,7,,,,,4,,7,8,4,6,,12,6,12,,,,8,7,,,,,
Iceland,5,,,,,1,,,0,0,1,0,10,,,8,0,,,7,,,,2,2,0,5,,,,,,,5,,,,0,,,,,10,4,3,1,4
Sweden,1,,,,,0,,,0,0,4,0,12,,,1,0,,,1,8,,,0,3,0,7,,,,,,,3,,,,3,,,,,,3,2,0,6
Turkey,12,,,,,3,,,7,0,0,0,8,,,10,5,,,4,0,,,0,0,8,0,,,,,,,0,,,,0,,,,,6,7,,5,10
Ukraine,0,,,,,12,,,12,7,10,12,7,,,3,12,,,8,6,,,6,7,6,8,,,,,,,12,,,,8,,,,,3,1,12,,0
Lithuania,0,,,,,0,,,0,0,0,0,0,,,0,10,,,0,0,,,12,,0,0,,,,,,,0,,,,0,,,,,0,0,0,0,8
Albania,,,,,,5,,,0,10,0,1,0,,,5,0,,,0,1,,,0,0,12,0,,,,,,,2,,,,0,,,,,7,10,8,3,3
Switzerland,10,,,,,0,,,0,5,7,0,5,,,7,0,,,0,0,,,0,0,1,12,,,,,,,0,,,,0,,,,,0,,0,0,0
Czech Republic,0,,,,,0,,,0,2,0,,0,,,0,0,,,0,0,,,0,0,5,1,,,,,,,0,,,,0,,,,,0,0,1,0,0
Belarus,0,,,,,,,,0,0,2,0,0,,,0,4,,,0,0,,,5,6,0,0,,,,,,,0,,,,0,,,,,0,0,0,10,0
Latvia,0,,,,,6,,,1,6,0,5,6,,,0,6,,,0,7,,,,12,4,6,,,,,,,10,,,,2,,,,,8,0,0,2,5
Croatia,3,,,,,7,,,6,,6,3,3,,,2,8,,,10,4,,,7,5,10,0,,,,,,,6,,,,10,,,,,4,6,5,7,0
Bulgaria,0,,,,,2,,,,1,8,2,0,,,6,0,,,3,5,,,1,1,7,2,,,,,,,1,,,,5,,,,,0,0,6,6,0
Denmark,4,,,,,4,,,2,3,5,10,,,,4,3,,,12,12,,,8,8,3,4,,,,,,,8,,,,0,,,,,12,5,0,4,1
Georgia,0,,,,,10,,,4,0,12,8,0,,,0,,,,2,2,,,10,10,2,10,,,,,,,7,,,,7,,,,,1,0,10,12,0
Hungary,0,,,,,0,,,0,0,0,0,1,,,0,1,,,,0,,,0,0,0,0,,,,,,,0,,,,4,,,,,0,0,0,0,0
Malta,8,,,,,0,,,3,4,0,6,4,,,0,0,,,0,3,,,4,0,0,,,,,,,,4,,,,0,,,,,0,0,0,0,2
Cyprus,2,,,,,0,,,8,0,,0,0,,,0,2,,,5,0,,,0,0,0,0,,,,,,,0,,,,1,,,,,0,2,4,0,12
Macedonia,7,,,,,0,,,10,12,0,4,2,,,0,0,,,0,0,,,0,0,,0,,,,,,,0,,,,12,,,,,2,8,7,0,0
Portugal,6,,,,,8,,,5,8,3,7,0,,,12,7,,,6,10,,,3,4,0,3,,,,,,,,,,,6,,,,,5,12,0,8,7
Bulgaria,1,0,1,6,,0,2,3,,6,12,10,0,0,2,8,3,4,10,8,0,0,6,0,0,7,3,5,,5,0,0,0,5,1,0,,0,,,3,10,0,0,12,2,6
Israel,0,0,0,0,,0,0,0,0,0,0,2,0,3,0,6,0,0,0,0,1,0,,0,4,0,0,0,,0,0,0,0,0,0,1,,0,,,0,0,0,0,0,0,0
Cyprus,8,0,4,0,,0,5,0,7,0,,0,0,0,0,5,0,3,12,0,0,0,4,0,0,0,0,0,,0,0,0,0,0,7,0,,0,,,0,0,0,0,0,0,10
Belarus,4,0,12,0,,,0,2,6,0,10,5,1,7,0,0,4,0,7,2,4,6,4,10,10,4,7,12,,4,0,3,4,1,3,12,,4,,,0,0,3,0,5,12,0
Iceland,0,0,0,0,,3,0,0,0,0,0,0,10,6,12,0,1,0,0,10,,0,0,6,5,0,0,0,,0,0,12,0,0,0,0,,0,,,0,0,12,0,0,0,0
Georgia,0,0,8,0,,8,1,0,3,0,7,0,0,10,4,0,,0,0,0,0,0,8,7,8,0,0,8,,0,5,0,3,0,0,10,,0,,,0,0,0,0,10,10,0
Montenegro,7,0,0,0,,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,0,0,0,0,0,0,,8,,,5,0,0,0,0,0,0
Switzerland,0,6,0,0,,0,0,0,0,1,2,0,3,2,0,0,0,8,2,0,0,0,0,4,0,0,10,0,,0,0,0,0,0,0,0,,0,,,2,0,0,,0,0,0
Moldova,0,0,7,0,,12,0,0,1,0,6,0,0,0,0,0,7,0,3,0,0,2,3,0,0,0,2,,,0,0,0,0,12,12,6,,0,,,0,6,0,0,8,6,0
Netherlands,0,5,0,0,,0,10,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,1,0,0,0,8,0,,0,,1,0,3,0,0,,0,,,0,0,0,1,0,0,0
Albania,,0,0,3,,0,0,4,2,3,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,10,0,0,,6,0,0,0,0,0,0,,0,,,0,0,0,7,4,0,1
Denmark,0,2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,5,5,0,0,0,6,0,,0,1,4,0,0,0,0,,3,,,0,0,4,0,0,0,7
Croatia,3,0,0,7,,0,0,10,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,,7,0,0,0,0,0,0,,6,,,8,0,0,5,0,0,0
Poland,0,10,5,4,,5,0,0,0,0,3,0,2,0,0,3,6,5,0,3,2,10,0,1,3,2,0,0,,1,0,0,,0,0,0,,2,,,0,0,0,0,0,5,3
Serbia,2,0,10,12,,10,4,12,8,12,8,12,6,0,8,7,8,10,5,12,10,8,7,2,1,12,1,6,,12,10,8,5,4,6,8,,,,,12,5,10,12,0,8,5
